"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1. Floresta","9380283.580461932","9379844.121487621","9380683.1070514","9379716.857111849","9375840.749436248","9380971.881650377","9385529.609629568","9387455.35664901","9385210.83491559","9381930.275603248","9381720.484717945","9385202.991069611","9387549.032220343","9386403.419411719","9387185.424742185","9391088.939341191","9392029.652522668","9391674.449758036","9391079.462239511","9389800.137509527","9388224.144441752","9388251.321883999","9389461.880727677","9393688.299872601","9393786.517217703","9390764.008905206","9390130.015267536","9387092.026749881","9387842.556442386","9389104.133598963","9391976.906996887","9390799.912783755","9391537.41598173","9388975.283504196","9386791.251690684","9382108.056392482","9378517.442799792"
"1.1. Formação Florestal","9374548.877158219","9374111.693813456","9374941.785537079","9373988.410317129","9370147.060675574","9375277.67786508","9379799.440327069","9381681.276847765","9379394.09902542","9376131.69548197","9375926.417283164","9379417.124421252","9381765.546878316","9380618.245142426","9381411.36964098","9385322.078553824","9386255.23736562","9385923.54777773","9385365.675803475","9384111.124863759","9382551.249275865","9382510.170892676","9383675.21601427","9387889.096251361","9388002.715983517","9385004.73682272","9384428.826430073","9381430.034261003","9382114.533180468","9383223.717458203","9385950.160570487","9384693.740904424","9385492.649233146","9382930.563573623","9380690.327815661","9375975.677351847","9373358.564287016"
"1.2. Formação Savânica","5734.703303713877","5732.427674164484","5741.3215143221205","5728.446794720671","5693.688760674542","5694.203785297154","5730.1693024984","5774.079801245369","5816.735890169225","5798.580121276381","5794.067434780589","5785.8666483588995","5783.48534202692","5785.174269292785","5774.055101204567","5766.860787368084","5774.415157048818","5750.901980307603","5713.786436037054","5689.012645768618","5672.895165887071","5741.150991322925","5786.664713406433","5799.203621239563","5783.801234186248","5759.2720824852995","5701.188837462282","5661.992488878205","5728.02326191772","5880.416140760281","6026.746426400246","6106.1718793301025","6044.766748584446","6044.719930573115","6100.923875023057","6132.379040635181","5158.878512774727"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Restinga Arborizada (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","39887.616313091006","42250.30028807795","41384.575385546486","40951.612116857475","43985.80823351794","39754.92591250049","37044.048651726625","36812.24444219195","37877.29546355269","39017.324115880896","40724.96084099519","38509.88108496632","37825.140156325026","36444.39953131813","34902.53812303656","34719.811538805334","34679.80779559922","35915.421458756624","35375.07968286266","36300.255886409854","37472.39015927997","37139.36975274695","36292.85896123394","33242.75230498382","33703.30896203849","37079.76929665583","37493.42189957089","39963.854143566336","40149.125765820296","40318.35388045131","37684.474515423215","38370.833423120224","36091.68764078284","36644.31374601774","37016.93344173902","41387.266768022775","37852.745099258296"
"2.1. Campo Alagado e Área Pantanosa","15334.953494642747","18665.73189359639","18203.075712535818","18093.695107954652","21113.09468136458","16587.39633756415","13843.825944265453","12306.902566118473","13488.453365162402","15038.613784818805","17962.28396138025","14776.37154728177","13852.259501024739","12067.001541535965","10775.395340363042","10226.87778133344","8266.125478999673","10101.432811824463","10582.100127782123","11926.001412622107","12567.745574502746","12052.809670302831","10644.25575131276","7532.761577815916","8287.404153469353","11764.948777308093","11407.40853656479","14374.477778605484","14130.292304844545","13680.671317243767","10955.003260448375","12036.43887598847","9797.82425160236","10841.528005812062","10185.239716463206","17315.13093563384","10436.678477362944"
"2.2. Formação Campestre","24552.66281844826","23584.568394481565","23181.499673010665","22857.91700890282","22872.713552153364","23167.52957493634","23200.222707461173","24505.34187607348","24388.842098390287","23978.710331062088","22762.676879614937","23733.509537684553","23972.880655300283","24377.397989782166","24127.14278267352","24492.933757471896","26413.682316599545","25813.988646932165","24792.97955508054","24374.254473787747","24904.644584777223","25086.560082444114","25648.60320992118","25709.990727167904","25415.90480856914","25314.820519347737","26086.013363006095","25589.37636496085","26018.833460975748","26637.682563207538","26729.47125497484","26334.394547131757","26293.86338918048","25802.78574020568","26831.69372527581","24072.13583238894","27416.066621895352"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea/Arbustiva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
