"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1.1. Metálicas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.1. Ferro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.10. Magnésio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.11. Bário","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.12. Níobio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.13. Estanho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.14. Ouro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.2. Manganês","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.3. Níquel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.4. Amianto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.5. Molibidênio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.6. Titânio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.7. Cromo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.8. Cobre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.1.9. Alumínio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2. Não metálicas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.1. Minerais Classe 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.2. Fluor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.3. Fosforo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.4. Gráfita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.5. Silício","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.2.6. Calcário","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3. Pedras preciosas e rochas ornamentais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3.1. Pedras preciosas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3.2. Rochas ornamentais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Energéticas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4.1. Carvão mineral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4.2. Urânio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4.3. Gás natural e petróleo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Garimpo","13","9","38","222","350","343","243","168","95","38","22","13","8","4","3","4","3","2","1","","","","","","2","2","","2","4","6","4","20","103","363","677","920","1556"
"2.1. Metálicas","13","9","38","222","350","343","243","168","95","38","22","13","8","4","3","4","3","2","1","","","","","","2","2","","2","4","6","4","20","103","363","677","920","1556"
"2.1.1. Estanho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1.2. Ouro","13","9","38","222","350","343","243","168","95","38","22","13","8","4","3","4","3","2","1","","","","","","2","2","","2","4","6","4","20","103","363","677","920","1556"
"2.2. Não metálicas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.2.1. Minerais Classe 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3. Pedras preciosas e rochas ornamentais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3.1. Pedras preciosas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.3.2. Rochas ornamentais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
